name,team_x,assists,bonus,bps,creativity,goals_conceded,goals_scored,ict_index,influence,start_hour,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,red_cards,selected,team_a_score,team_h_score,threat,transfers_in,transfers_out,value,was_home,yellow_cards,points,points_after
0,4,0,0,-3,0.3,2,0,3.4,1.2,19,45,4,6,0,0,0,32205,3.0,1.0,32.0,0,0,55,1,0,1,8.0
8,24,0,0,0,0.0,0,0,0.0,0.0,19,0,13,16,0,0,0,409,2.0,0.0,0.0,0,0,55,1,0,0,0.0
10,9,0,0,3,0.3,0,0,1.0,3.0,11,27,0,0,0,0,0,1435176,3.0,0.0,7.0,0,0,60,1,0,1,12.0
12,0,0,1,29,12.7,0,1,9.9,38.6,11,86,7,9,0,0,0,196064,3.0,0.0,48.0,0,0,85,0,0,7,7.0
16,16,0,0,3,14.0,0,0,6.9,7.0,19,87,18,24,0,0,0,21822,2.0,0.0,48.0,0,0,55,0,0,2,1.0
26,19,0,0,-4,3.0,2,0,2.7,1.4,17,90,19,25,0,0,0,17568,2.0,0.0,23.0,0,0,60,1,0,2,0.0
27,9,0,0,4,0.4,0,0,0.2,0.0,11,15,0,0,0,0,0,8412,3.0,0.0,2.0,0,0,55,1,0,1,5.0
32,23,0,0,-3,1.3,1,0,0.1,0.0,13,59,8,11,0,0,0,13584,3.0,0.0,2.0,0,0,55,1,0,1,2.0
33,16,0,2,32,23.3,0,1,10.5,32.0,19,84,18,24,0,0,0,538610,2.0,0.0,50.0,0,0,65,0,0,8,2.0
39,8,0,0,0,0.0,0,0,0.0,0.0,15,0,16,21,0,0,0,444,1.0,0.0,0.0,0,0,60,0,0,0,0.0
40,23,0,0,0,0.0,0,0,0.0,0.0,13,0,8,11,0,0,0,60979,3.0,0.0,0.0,0,0,55,1,0,0,0.0
41,20,0,0,3,13.1,1,0,3.9,4.4,14,84,5,7,0,0,0,279992,0.0,1.0,21.0,0,0,60,0,0,2,1.0
45,7,0,0,0,0.0,0,0,0.0,0.0,14,0,15,20,0,0,0,15812,0.0,1.0,0.0,0,0,55,1,0,0,0.0
49,7,0,0,0,0.0,0,0,0.0,0.0,14,0,15,20,0,0,0,85742,0.0,1.0,0.0,0,0,45,1,0,0,0.0
56,20,0,0,1,11.2,1,0,8.0,8.6,14,90,5,7,0,0,0,1467030,0.0,1.0,60.0,0,0,85,0,0,2,11.0
60,19,0,0,2,2.7,0,0,1.2,0.8,17,19,19,25,0,0,0,64923,2.0,0.0,8.0,0,0,55,1,0,1,1.0
67,12,0,0,0,0.0,0,0,0.0,0.0,16,0,9,10,0,0,0,71975,3.0,4.0,0.0,0,0,55,1,0,0,0.0
69,8,0,2,34,13.7,0,1,8.6,38.4,15,88,16,21,0,0,0,387691,1.0,0.0,34.0,0,0,70,0,0,8,17.0
72,16,0,0,0,0.0,0,0,0.0,0.0,19,0,18,24,0,0,0,3224,2.0,0.0,0.0,0,0,60,0,0,0,0.0
75,0,0,0,3,0.0,0,0,0.0,0.0,11,3,7,9,0,0,0,112190,3.0,0.0,0.0,0,0,60,0,0,1,8.0
84,25,0,0,0,0.0,0,0,0.0,0.0,17,0,14,19,0,0,0,75604,2.0,0.0,0.0,0,0,55,0,0,0,1.0
86,4,0,0,0,0.0,0,0,0.0,0.0,19,0,4,6,0,0,0,22063,3.0,1.0,0.0,0,0,50,1,0,0,0.0
93,4,0,0,0,0.0,0,0,0.0,0.0,19,0,4,6,0,0,0,17313,3.0,1.0,0.0,0,0,50,1,0,0,0.0
94,23,0,0,3,0.1,2,0,0.3,2.0,13,30,8,11,0,0,0,24892,3.0,0.0,1.0,0,0,55,1,0,1,0.0
96,21,0,0,7,22.5,1,0,5.2,8.0,15,90,6,8,0,0,0,894557,1.0,0.0,21.0,0,0,105,1,0,2,21.0
