name,team_x,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,start_hour,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,team_a_score,team_h_score,threat,transfers_in,transfers_out,value,was_home,yellow_cards,points,points_after
0,19,0,0,12,0,0.0,2,0,1.8,18.2,17,90,19,25,0,0,0,0,2,462939,2.0,0.0,0.0,0,0,50,1,0,1,2.0
2,12,0,0,0,0,0.0,0,0,0.0,0.0,16,0,9,10,0,0,0,0,0,18419,3.0,4.0,0.0,0,0,45,1,0,0,0.0
3,20,0,0,17,0,0.0,1,0,2.3,22.6,14,90,5,7,0,0,0,0,2,1400435,0.0,1.0,0.0,0,0,45,0,0,2,0.0
6,12,0,0,9,0,0.0,3,0,0.4,3.8,16,90,9,10,0,0,0,0,0,721549,3.0,4.0,0.0,0,0,60,1,0,1,14.0
7,9,0,0,0,0,0.0,0,0,0.0,0.0,11,0,0,0,0,0,0,0,0,71203,3.0,0.0,0.0,0,0,45,1,0,0,1.0
12,20,0,0,0,0,0.0,0,0,0.0,0.0,14,0,5,7,0,0,0,0,0,19987,0.0,1.0,0.0,0,0,45,0,0,0,0.0
19,0,0,1,29,1,0.0,0,0,1.4,14.0,11,90,7,9,0,0,0,0,2,400285,3.0,0.0,0.0,0,0,50,0,0,7,2.0
26,4,0,0,0,0,0.0,0,0,0.0,0.0,19,0,4,6,0,0,0,0,0,107597,3.0,1.0,0.0,0,0,40,1,0,0,0.0
33,11,0,0,0,0,0.0,0,0,0.0,0.0,13,0,17,23,0,0,0,0,0,13251,3.0,0.0,0.0,0,0,45,0,0,0,0.0
34,24,0,0,0,0,0.0,0,0,0.0,0.0,19,0,13,16,0,0,0,0,0,16045,2.0,0.0,0.0,0,0,45,1,0,0,0.0
35,23,0,0,0,0,0.0,0,0,0.0,0.0,13,0,8,11,0,0,0,0,0,299163,3.0,0.0,0.0,0,0,40,1,0,0,0.0
37,24,0,0,0,0,0.0,0,0,0.0,0.0,19,0,13,16,0,0,0,0,0,498030,2.0,0.0,0.0,0,0,40,1,0,0,0.0
50,0,0,0,0,0,0.0,0,0,0.0,0.0,11,0,7,9,0,0,0,0,0,292339,3.0,0.0,0.0,0,0,45,0,0,0,13.0
55,9,0,0,0,0,0.0,0,0,0.0,0.0,11,0,0,0,0,0,0,0,0,117641,3.0,0.0,0.0,0,0,40,1,0,0,0.0
57,10,0,0,0,0,0.0,0,0,0.0,0.0,16,0,10,12,0,0,0,0,0,149614,3.0,4.0,0.0,0,0,45,0,0,0,0.0
58,20,0,0,0,0,0.0,0,0,0.0,0.0,14,0,5,7,0,0,0,0,0,0,0.0,1.0,0.0,0,0,40,0,0,0,0.0
68,21,0,0,15,0,0.0,1,0,2.0,20.0,15,90,6,8,0,0,0,0,3,296409,1.0,0.0,0.0,0,0,55,1,0,3,2.0
70,10,0,0,20,0,0.0,4,0,1.8,17.8,16,90,10,12,0,0,0,0,3,55373,3.0,4.0,0.0,0,0,45,0,0,1,2.0
81,4,0,0,0,0,0.0,0,0,0.0,0.0,19,0,4,6,0,0,0,0,0,0,3.0,1.0,0.0,0,0,40,1,0,0,0.0
84,21,0,0,0,0,0.0,0,0,0.0,0.0,15,0,6,8,0,0,0,0,0,55692,1.0,0.0,0.0,0,0,45,1,0,0,0.0
87,25,0,0,0,0,0.0,0,0,0.0,0.0,17,0,14,19,0,0,0,0,0,20303,2.0,0.0,0.0,0,0,45,0,0,0,0.0
89,8,0,0,0,0,0.0,0,0,0.0,0.0,15,0,16,21,0,0,0,0,0,9107,1.0,0.0,0.0,0,0,45,0,0,0,0.0
91,8,0,1,32,1,0.0,0,0,3.9,38.6,15,90,16,21,0,0,0,0,5,270083,1.0,0.0,0.0,0,0,50,0,0,8,1.0
