name,team_x,assists,bonus,bps,creativity,goals_conceded,goals_scored,ict_index,influence,start_hour,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,red_cards,selected,team_a_score,team_h_score,threat,transfers_in,transfers_out,value,was_home,yellow_cards,points,points_after
1,4,0,0,0,0.0,0,0,0.0,0.0,19,0,4,6,0,0,0,2010,3.0,1.0,0.0,0,0,50,1,0,0,0.0
3,8,0,0,20,44.6,0,0,6.9,20.4,15,90,16,21,0,0,0,143040,1.0,0.0,4.0,0,0,55,0,0,3,1.0
4,9,0,0,-2,1.8,3,0,0.2,0.0,11,62,0,0,0,0,0,6711,3.0,0.0,5.0,0,0,50,1,0,2,1.0
8,25,0,0,6,1.8,0,0,3.2,12.8,17,90,14,19,0,0,0,1189095,2.0,0.0,17.0,0,0,65,0,0,3,2.0
5,10,0,0,0,0.0,0,0,0.0,0.0,16,0,10,12,0,0,0,2009,3.0,4.0,0.0,0,0,50,0,0,0,0.0
6,4,0,0,6,27.2,1,0,3.6,6.8,19,44,4,6,0,0,0,78657,3.0,1.0,2.0,0,0,65,1,0,1,1.0
12,11,0,0,0,0.0,0,0,0.0,0.0,13,0,17,23,0,0,0,39204,3.0,0.0,0.0,0,0,45,0,0,0,0.0
26,4,0,0,0,0.0,0,0,0.0,0.0,19,0,4,6,0,0,0,3939,3.0,1.0,0.0,0,0,55,1,0,0,0.0
18,8,0,0,0,0.0,0,0,0.0,0.0,15,0,16,21,0,0,0,10789,1.0,0.0,0.0,0,0,60,0,0,0,1.0
22,12,0,0,0,0.0,0,0,0.0,0.0,16,0,9,10,0,0,0,3207,3.0,4.0,0.0,0,0,65,1,0,0,0.0
28,4,0,0,3,0.7,0,0,0.5,4.4,19,11,4,6,0,0,0,3104,3.0,1.0,0.0,0,0,55,1,0,1,1.0
30,8,0,0,16,3.4,0,0,2.1,18.0,15,90,16,21,0,0,0,75335,1.0,0.0,0.0,0,0,55,0,0,3,2.0
31,16,0,0,7,2.8,0,0,1.2,3.8,19,74,18,24,0,0,0,1361562,2.0,0.0,5.0,0,0,55,0,0,3,1.0
